nvar_id,svar_name,nchar1,nchar2,nchar3,nchar4,nchar5,nchar6,nchar7,nchar8,nchar9,nchar10,nchar11,nchar12,nchar13,nchar14,nchar15,nchar16,nchar17,nchar18,nchar19,nchar20,nchar21,nchar22,nchar23,nchar24,nchar25,nchar26,nchar27,nchar28,nchar29,nchar30,nchar31,nchar32,nchar33,nchar34,nchar35,nchar36,nchar37,nchar38,m9,m15,m18,m27,m29,m30,m31,m32,m33
602,Ametist,5,1,0,1,5,5,1,3,3,1,1,1,1,1,7,1,1,5,1,0,5,3,1,2,1,7,3,2,5,5,5,5,5,3,1,3,1,1,0,0,0,0,0,0,0,0,0
603,Fiamma,7,9,2,9,7,5,3,3,5,1,1,1,7,5,3,1,1,7,1,0,0,1,5,3,5,9,7,2,5,7,3,7,3,5,6,3,2,3,94,68,22,150,33.2,10.37,2.87,7.78,2.5
604,Fuoco,5,1,0,1,5,5,3,5,5,1,1,1,1,1,5,1,1,5,1,0,0,3,1,3,3,9,5,2,5,5,5,5,5,2,6,3,1,1,95,78,18,135,25.87,7.51,3.29,5.66,2.86
605,Marchese CL,5,1,0,1,7,5,1,1,5,1,1,1,1,1,3,1,1,5,1,0,0,1,1,3,3,7,7,2,7,7,7,7,7,3,1,3,1,1,90,64.5,19.87,150,40.68,9.37,3.87,6.65,3.32
606,Sapi-GV,5,1,0,1,7,5,3,5,7,1,1,5,9,5,9,1,1,7,1,0,0,7,5,3,5,9,5,4,7,7,7,7,7,3,1,3,2,1,98,110,20,148,40.28,8.63,3.83,6.63,3.33
607,Macchiavelli,5,1,0,1,3,5,3,3,5,1,1,1,1,1,3,1,1,5,1,0,0,5,1,2,3,9,5,2,5,3,5,3,5,2,1,3,1,1,96,75,15,154,26.89,6.89,3.43,5.1,3.02
608,Gelso,5,1,0,1,5,3,5,5,5,1,1,1,7,5,3,1,1,5,1,0,0,1,6,3,3,9,3,2,3,7,3,7,3,5,1,3,2,3,93,65,18,131,22.56,8.58,2.5,6.82,2.2
609,Sanluca,3,1,0,1,5,5,3,5,7,1,1,1,1,1,5,1,1,5,9,3,1,5,1,3,5,7,7,2,7,7,7,7,7,2,1,3,1,1,100,87,16,156,46.19,9.39,4.25,7.04,3.64
610,Gilda,7,9,2,9,7,5,5,7,5,1,1,1,7,5,7,9,9,7,1,0,0,9,5,3,3,9,5,3,5,5,5,5,5,3,6,3,1,1,94,112,22,151,31.23,8.03,3.48,6,2.96
611,CRR,5,1,0,1,3,5,3,5,3,1,1,1,1,1,3,1,1,3,1,0,0,5,1,2,3,5,7,2,5,5,5,5,5,3,6,3,1,1,82,62.3,14.6,150,0,0,0,0,0
612,Manuela,5,1,0,1,5,5,5,5,9,1,1,1,5,5,3,1,1,7,1,0,0,1,5,3,3,7,7,2,5,7,3,7,3,5,1,3,0,1,0,0,0,0,0,0,0,0,0
613,Albaron,3,1,0,1,5,3,3,5,9,1,1,1,1,1,3,1,1,7,9,3,5,5,1,3,5,5,7,2,5,7,3,7,3,5,1,3,0,1,0,0,0,0,0,0,0,0,0
614,Impuls,3,1,0,1,7,3,5,7,9,1,1,1,1,1,5,1,1,7,1,0,0,5,1,3,5,9,5,2,5,7,3,7,3,5,1,3,0,1,0,0,0,0,0,0,0,0,0
616,Orange Nori,5,1,0,1,5,5,3,3,5,1,1,1,1,1,7,1,1,7,1,0,0,1,1,3,3,9,3,3,5,7,5,7,5,3,6,3,1,3,0,0,0,0,0,0,0,0,0
617,Violet Nori,7,9,4,9,7,5,3,3,7,1,7,7,9,5,7,1,9,7,1,0,0,5,5,3,5,9,9,6,5,5,5,5,5,3,9,3,2,3,0,0,0,0,0,0,0,0,0
618,Osmancik 97,5,1,0,1,5,7,3,3,5,1,1,1,1,1,5,1,1,3,1,0,0,5,1,2,3,9,6,2,5,7,5,7,7,3,1,0,0,1,94,90.2,16,147,33.41,8.52,3.46,6.58,3.02
619,XL 723,5,9,2,1,7,3,3,3,5,1,1,1,7,5,5,1,1,7,1,0,0,1,5,3,5,3,5,2,5,7,3,7,3,5,1,0,0,1,95,80.1,22.1,142,27.51,9.29,2.61,7.16,2.34
620,Gavella,3,1,0,1,7,3,3,3,7,1,1,1,1,1,5,1,1,7,1,0,0,3,1,3,5,5,9,2,5,7,3,7,3,5,1,0,0,1,101,75.8,23.5,156,31.75,10.65,2.61,7.98,2.28
621,Gines,3,1,0,1,5,5,3,5,5,1,1,1,1,1,5,1,1,4,1,0,0,5,1,3,5,9,6,2,5,7,5,7,3,5,1,0,0,1,93,72,17.7,147,30,9.81,2.88,7.55,2.46
622,Cirene,5,1,0,1,5,5,1,5,3,1,1,1,1,1,5,1,1,7,1,0,0,5,1,3,5,9,6,2,7,7,7,7,7,3,1,0,0,1,92,79.7,21.3,145,45.32,9.37,3.86,7.24,3.29
623,Damyan,5,9,2,9,7,5,5,7,5,1,1,1,1,1,6,9,1,4,1,0,0,9,1,3,1,9,6,2,7,5,5,5,7,2,1,0,0,1,93,90.9,18.3,145,35.43,8.18,3.6,6.27,3.15
624,Argila,5,1,0,1,5,5,1,3,3,1,1,1,1,1,1,1,1,3,1,0,0,7,1,2,3,7,7,2,7,5,7,5,7,2,1,0,0,1,91,59.7,15.9,150,36.56,8.12,4.01,6.03,3.37
625,Bolero,5,1,0,1,5,7,3,3,3,1,1,1,1,1,2,1,1,4,1,0,0,5,1,3,5,9,4,2,5,5,5,5,7,2,1,0,0,1,92,62,17.3,135,31.9,8.04,3.63,5.99,3.18
626,Antara,5,1,0,1,5,5,1,3,5,1,1,1,1,1,3,1,1,3,1,0,0,9,1,2,3,7,6,2,7,5,7,5,7,2,1,0,0,1,93,63.3,16.2,145,37.84,8.2,4.05,6.04,3.35
627,Il Moro,5,1,0,1,7,5,1,1,7,1,1,1,1,1,5,1,1,7,1,0,0,5,1,2,3,7,6,5,5,5,5,5,5,3,9,3,1,3,0,0,0,0,0,0,0,0,0
628,Pierrot (Stocchi),0,0,0,1,0,0,0,0,3,0,0,0,0,0,7,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
633,Kemet,7,9,3,9,5,5,3,3,9,1,5,7,9,5,3,1,9,7,1,0,0,3,5,3,5,7,7,0,3,7,3,7,3,5,9,0,0,0,112,74.14,21,157,22.67,9.37,2.65,6.87,2.17
634,Keris,3,1,0,1,7,3,1,5,7,1,1,1,1,1,6,1,1,5,1,0,0,3,1,3,5,7,7,2,5,7,3,7,3,5,6,3,0,0,110,82.2,22.1,160,28.37,10.31,2.45,8.08,2.14
635,Illeta,5,1,0,1,5,5,3,3,9,1,1,1,1,1,1,1,1,5,1,0,0,1,1,2,3,9,7,2,7,7,5,7,5,3,1,3,0,1,108,58.8,16.7,159,40.39,8.64,3.52,6.6,3.14
636,Lirio,5,1,0,1,3,5,1,3,7,1,1,1,1,1,1,1,1,5,1,0,0,1,1,2,3,9,5,2,3,3,5,3,5,3,1,0,0,0,98,57.7,15,141,24.06,7.38,3.08,5.56,2.67
637,Soto,5,1,0,1,5,7,3,3,7,1,1,1,1,1,1,1,1,3,1,0,0,3,1,2,1,7,7,2,5,5,5,5,5,2,1,0,0,0,99,51.9,13.6,156,33.73,7.49,3.86,5.69,3.33
638,Estany,5,1,0,1,5,5,3,3,9,1,1,1,1,1,1,1,1,5,1,0,0,5,1,2,1,9,7,2,5,5,5,5,5,2,1,0,0,0,103,57.6,14.8,158,31.73,7.36,3.63,5.67,3.15
639,Zorba,5,1,0,1,7,5,5,5,9,1,1,1,7,5,3,1,1,7,1,0,0,3,5,3,3,9,7,2,5,7,3,7,3,5,1,0,0,1,100,66,20.6,155,26.78,9.2,2.57,7.21,2.29
640,Golden bon,5,1,0,1,5,3,3,3,9,1,1,1,5,5,3,1,1,5,1,0,0,1,6,3,3,7,9,0,5,7,3,7,3,5,1,0,0,0,119,63.7,19.8,162,25.71,9.16,2.46,7.35,2.18
641,Fenomeno,5,1,0,1,5,5,3,3,9,1,1,1,1,1,3,1,1,5,1,0,0,5,1,3,3,9,7,2,5,7,5,7,5,4,1,0,0,0,103,67.6,19.8,155,26.61,8.54,2.81,6.67,2.46
642,Lord,5,1,0,1,7,5,3,5,9,1,1,1,1,1,5,1,1,5,1,0,0,1,1,2,3,7,7,2,5,7,5,7,5,4,1,3,0,1,103,86.1,18.6,155,28.65,8.77,2.95,6.84,2.62
643,Spillo,5,1,0,1,5,3,1,1,9,1,1,1,1,1,3,1,1,5,1,0,0,5,1,3,3,7,9,2,5,3,5,3,5,2,1,0,0,1,117,69.7,19.6,163,26.29,6.75,3.26,5.13,3
644,Limperatore,5,1,0,1,7,5,1,5,9,1,1,1,1,1,3,1,1,7,1,0,0,3,1,3,3,7,7,2,5,5,5,5,5,3,1,3,0,1,103,65.5,20,157,25.95,7.75,3.12,5.85,2.75
645,Precocissimo molina,5,1,0,1,7,5,3,3,5,1,1,1,1,1,3,1,1,5,1,0,0,3,1,2,5,9,3,2,5,3,5,3,5,2,1,0,0,1,85,68.2,18,127,29.64,7.44,3.63,5.44,3.21
646,Caban,7,1,0,1,5,5,3,5,9,1,1,1,1,1,1,1,1,5,1,0,0,5,1,2,1,7,9,2,3,5,3,5,3,4,1,0,0,1,100,57.1,15.4,161,23.93,8.48,2.7,6.46,2.41
647,Prever,5,1,0,1,7,5,3,5,9,1,1,1,7,1,5,1,9,5,1,0,0,5,5,2,3,7,7,2,3,7,3,7,3,5,1,3,0,1,103,85.2,16.9,158,20.7,8.57,2.45,6.64,2.13
648,Cambon,5,1,0,1,5,5,1,3,9,1,1,1,7,5,1,1,1,5,1,0,0,5,5,2,5,7,7,2,3,7,3,7,3,4,1,0,0,1,103,59.3,16.4,153,24.07,8.88,2.59,6.92,2.32
649,Manobi,5,1,0,1,5,5,3,3,7,1,1,1,1,1,3,1,1,5,1,0,0,7,1,2,3,9,7,2,5,5,7,5,7,2,1,0,0,1,96,71.3,16.9,147,35.39,7.95,3.65,6.23,3.2
650,Rousty,5,1,0,1,5,5,3,5,7,1,1,1,1,1,1,1,1,5,1,0,0,7,1,2,3,9,5,2,5,7,3,7,3,5,1,0,0,1,96,52.4,15.2,140,25.97,9.28,2.66,7.23,2.28
651,Tiber,5,1,0,1,3,5,3,5,5,1,1,1,1,1,1,1,1,5,1,0,0,5,1,2,3,7,5,2,3,5,5,5,5,3,1,0,0,1,91,51.5,15.8,142,24.91,8,2.94,6.15,2.54
652,Fleixa,5,1,0,1,5,5,1,3,7,1,1,1,1,1,1,1,1,3,1,0,0,7,1,2,3,9,5,2,5,5,5,5,5,2,1,0,0,1,98,54.8,14.9,144,34.12,8,3.63,6.02,3.17
653,Paty,5,1,0,1,5,5,3,5,7,1,1,1,1,1,3,1,1,5,1,0,0,5,1,3,3,7,5,2,5,7,3,7,3,5,1,0,0,0,93,60,18.1,144,25.79,9.13,2.68,7.09,2.36
654,Riege,5,1,0,1,3,5,3,5,7,1,1,1,1,1,3,1,1,5,1,0,0,3,1,3,3,7,5,2,7,7,5,7,5,4,1,3,0,1,97,61.5,18.2,139,35.58,9.47,3.27,7.34,2.82
656,Valente,5,1,0,1,5,5,3,5,5,1,1,1,1,1,3,1,1,5,1,0,0,5,1,3,3,7,5,2,5,7,5,7,5,4,1,3,1,1,90,60,18.5,139,33.53,9.6,3.14,7.13,2.66
657,CL388,5,1,0,1,5,5,3,5,7,1,1,1,1,1,3,1,1,5,1,0,0,5,1,3,3,9,7,2,7,7,7,7,7,3,1,3,1,1,93,68.5,17.5,149,39.72,8.94,3.94,6.74,3.36
658,CLA01,5,1,0,1,5,5,3,3,5,1,1,1,1,1,3,1,1,5,1,0,0,1,1,3,3,9,3,2,5,7,5,7,5,3,1,3,2,1,91,69,17,132,32.92,8.87,3.42,6.7,2.98
659,Delfo,5,1,0,1,7,3,3,5,7,1,1,1,1,1,3,1,1,5,1,0,0,1,3,3,5,9,5,3,3,7,3,7,3,5,4,3,2,1,97,66.5,16.5,141,24,9.32,2.69,7.13,2.24
660,Inov CL,3,1,0,1,7,5,1,1,9,1,1,1,1,1,3,1,1,7,9,3,5,5,1,3,5,5,7,1,5,7,3,7,3,5,1,3,2,1,106,67.5,24.5,153,27.87,9.77,2.56,7.28,2.24
661,Nerone Gold,5,1,0,1,3,5,1,3,5,1,1,1,1,1,1,1,1,5,1,0,0,5,1,3,5,9,5,3,5,7,5,7,5,3,9,2,1,3,91,56.5,18,139,27.59,8.85,3.32,6.52,2.67
662,Re CL,5,1,0,1,7,5,3,3,5,1,1,1,7,1,3,1,1,7,9,5,7,5,4,3,5,7,5,3,7,7,7,7,7,3,1,3,2,1,91,71,20,141,41.01,9.28,3.82,6.89,3.26
663,Regina Sa.Pi.Se.,5,1,0,1,5,7,1,1,7,1,1,1,1,1,3,1,1,6,1,0,0,5,1,3,3,9,7,2,5,5,5,5,5,3,1,3,2,1,97,68,20,154,31.47,8.2,3.3,6.16,2.92
664,RTID4706,3,1,0,1,5,5,1,1,9,1,1,1,1,1,3,1,1,5,9,3,5,3,1,3,5,5,7,2,3,7,3,7,3,5,1,3,2,1,108,68,17,158,25.01,9.61,2.42,7.01,2.1
665,RTID6121,5,1,0,1,5,5,1,1,9,1,1,1,1,1,3,1,1,5,9,2,3,1,1,3,3,3,7,2,5,7,3,7,3,5,1,3,2,1,114,70,16,155,27.7,10.11,2.46,7.52,2.14
666,RTID6118,5,1,0,1,5,5,1,1,9,3,1,1,1,1,3,1,1,0,9,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,116,70,NA,NA,NA,NA,NA,NA,NA
667,Samurai,7,9,2,9,5,5,3,3,5,1,1,1,9,5,3,1,1,5,1,0,0,1,4,3,3,9,3,2,7,7,5,7,5,3,1,3,1,1,91,64,19.5,135,35.26,9.17,3.37,6.94,2.89
668,Suami,7,9,2,9,3,5,5,7,5,1,1,1,9,5,2,1,1,5,1,0,0,1,5,3,3,5,5,2,5,7,5,7,5,3,1,3,1,1,92,65,15,145,32.63,8.79,3.31,6.7,2.93
671,Kori,7,9,2,9,5,5,3,5,5,1,1,1,7,5,3,9,9,7,9,3,1,5,5,3,3,9,5,2,7,7,5,7,5,4,1,3,1,1,88,69,20,140,38.7,10.07,3.3,7.44,2.74
672,CL35,5,1,0,1,5,5,3,3,5,1,1,1,3,1,3,1,1,5,1,0,0,3,4,3,3,7,3,2,7,7,5,7,5,4,1,3,1,1,87,63,18,133,35.81,9.13,3.29,7.1,2.83
673,PVL024,5,1,0,1,7,5,1,3,9,1,1,1,7,1,3,1,1,5,1,0,0,1,6,3,5,5,7,2,3,7,3,7,3,5,1,3,2,1,107,70.5,19,155,23.68,8.58,2.53,6.82,2.23
674,CL510,5,1,0,1,7,5,3,3,5,1,1,1,1,1,3,1,1,5,1,0,0,5,1,3,3,7,5,1,7,7,7,7,7,3,1,3,1,1,88,64,17,140,49.38,9.94,4.33,7.48,3.57
675,Tiberio,7,1,0,1,5,5,1,3,5,1,1,1,7,4,1,1,1,5,1,0,0,1,5,3,3,7,5,2,7,7,5,7,5,3,1,3,2,1,88,59,18,135,36.81,8.94,3.23,6.88,2.85
676,Laser,5,1,0,1,5,3,3,5,7,1,1,1,5,5,3,1,1,5,1,0,0,1,5,3,3,7,7,2,4,7,3,7,3,5,1,3,2,1,97,66.5,17.5,153,27.27,9.91,2.41,7.8,2.12
677,Nairobi One,7,9,2,9,7,5,5,7,5,1,1,7,9,5,5,1,1,7,1,0,0,3,5,3,5,9,7,6,5,7,3,7,3,5,9,3,1,3,91,82.5,22,150,26.85,10.13,2.73,7.43,2.21
678,Real,5,1,0,1,5,5,3,3,7,1,1,1,5,1,3,1,1,5,1,0,0,5,4,3,3,7,7,2,7,7,7,7,7,3,1,3,2,1,99,71,19,153,41.77,9.17,3.75,7.11,3.27
679,Zar,5,1,0,1,5,5,3,3,7,1,1,1,5,1,3,1,1,5,1,0,0,5,4,3,3,7,7,2,7,7,7,7,7,3,1,3,2,1,99,71.5,18,155,42.15,9.31,3.7,7.12,3.19
680,Avana Gold,7,9,2,9,5,5,1,3,5,1,1,5,9,5,5,1,1,7,1,0,0,3,6,3,5,9,7,3,5,7,3,7,3,5,6,3,2,3,91,76,22,150,26.98,10.14,2.51,7.76,2.07
681,Meridio,5,1,0,1,5,5,3,3,5,1,1,1,1,1,3,1,1,5,1,0,0,1,1,3,3,7,5,2,5,7,5,7,5,4,1,3,1,1,93,72.5,18,138,33.08,9.51,2.88,7.19,2.56
682,Maestrale,5,1,0,1,5,5,3,5,7,1,1,1,5,5,3,1,1,5,1,0,0,1,5,3,3,7,5,2,5,7,5,7,5,4,1,3,1,1,98,62.15,17.65,140,34.21,9.54,2.97,7.18,2.65
683,RG C1/1/1/2,5,9,2,9,5,5,1,1,9,1,1,1,7,5,3,1,1,7,1,0,0,1,5,3,5,3,7,2,0,7,3,7,3,5,1,3,2,1,100,66.2,22.6,146,NA,10.01,2.47,7.62,2.12
